,Dataset,Train Size,Test Size,Length,No. of Classes,Type,Hydra (K/D),MiniRocket (K),MultiRocket (K),R_DST (S),Rocket (K),WEASEL 2.0 (D)
0,ACSF1,100,100,1460,10,DEVICE,0.86,0.92,0.89,0.93,0.88,0.96
1,Adiac,390,391,176,37,IMAGE,0.7801,0.8414,0.8363,0.7289,0.7877,0.844
2,ArrowHead,36,175,251,3,IMAGE,0.8114,0.8629,0.8629,0.8571,0.8171,0.8571
3,Beef,30,30,470,5,SPECTRO,0.8667,0.8667,0.7667,0.8333,0.8333,0.8333
4,BeetleFly,20,20,512,2,IMAGE,0.95,0.9,0.9,0.95,0.9,0.95
5,BirdChicken,20,20,512,2,IMAGE,0.9,0.9,0.9,0.9,0.9,0.9
6,BME,30,150,128,3,SIMULATED,1.0,1.0,1.0,0.9933,1.0,0.98
7,Car,60,60,577,4,SENSOR,0.9167,0.9167,0.9167,0.9167,0.9,0.9167
8,CBF,30,900,128,3,SIMULATED,0.9911,0.9989,0.9956,0.9933,1.0,0.98
9,Chinatown,20,345,24,2,Traffic,0.9825,0.9825,0.9767,0.9825,0.9825,0.9767
10,ChlorineConcentration,467,3840,166,3,SIMULATED,0.763,0.7562,0.7898,0.7672,0.8167,0.7667
11,CinCECGTorso,40,1380,1639,4,ECG,0.9935,0.8688,0.9507,0.9942,0.837,0.9616
12,Coffee,28,28,286,2,SPECTRO,1.0,1.0,1.0,1.0,1.0,1.0
13,Computers,250,250,720,2,DEVICE,0.712,0.708,0.796,0.748,0.76,0.716
14,CricketX,390,390,300,12,MOTION,0.7923,0.8077,0.7897,0.8154,0.8256,0.8128
15,CricketY,390,390,300,12,MOTION,0.8154,0.8308,0.8487,0.8462,0.8462,0.8103
16,CricketZ,390,390,300,12,MOTION,0.8231,0.8282,0.8308,0.8692,0.8487,0.8077
17,Crop,7200,16800,46,24,IMAGE,0.7221,0.749,0.7738,0.7648,0.7529,0.7609
18,DiatomSizeReduction,16,306,345,4,IMAGE,0.9477,0.9248,0.9608,0.9314,0.9673,0.9673
19,DistalPhalanxOutlineAgeGroup,400,139,80,3,IMAGE,0.7698,0.7482,0.777,0.7842,0.7698,0.777
20,DistalPhalanxOutlineCorrect,600,276,80,2,IMAGE,0.7609,0.7826,0.7971,0.7754,0.7754,0.7826
21,DistalPhalanxTW,400,139,80,6,IMAGE,0.7122,0.6906,0.6906,0.7122,0.7194,0.6978
22,Earthquakes,322,139,512,2,SENSOR,0.7482,0.7482,0.7482,0.7266,0.7482,0.7482
23,ECG200,100,100,96,2,ECG,0.88,0.92,0.92,0.9,0.91,0.89
24,ECG5000,500,4500,140,5,ECG,0.9487,0.9447,0.9458,0.9458,0.9476,0.9482
25,ECGFiveDays,23,861,136,2,ECG,1.0,1.0,1.0,1.0,1.0,0.971
26,ElectricDevices,8926,7711,96,7,DEVICE,0.7338,0.7456,0.737,0.7401,0.7297,0.7732
27,EOGHorizontalSignal,362,362,1250,12,EOG,0.5773,0.5884,0.6436,0.6713,0.6409,0.616
28,EOGVerticalSignal,362,362,1250,12,EOG,0.4613,0.547,0.5359,0.5497,0.547,0.4751
29,EthanolLevel,504,500,1751,4,SPECTRO,0.562,0.61,0.634,0.636,0.578,0.586
30,FaceAll,560,1690,131,14,IMAGE,0.8982,0.8041,0.803,0.7964,0.9503,0.7846
31,FaceFour,24,88,350,4,IMAGE,0.8636,0.9886,0.9545,0.9886,0.9773,0.9432
32,FacesUCR,200,2050,131,14,IMAGE,0.9566,0.9556,0.9615,0.9629,0.9624,0.9463
33,FiftyWords,450,455,270,50,IMAGE,0.8308,0.8352,0.8549,0.8396,0.8286,0.833
34,Fish,175,175,463,7,IMAGE,0.9886,0.9714,0.9829,0.9943,0.9829,0.9886
35,FordA,3601,1320,500,2,SENSOR,0.9568,0.9477,0.9568,0.9515,0.95,0.9606
36,FordB,3636,810,500,2,SENSOR,0.8148,0.8123,0.8383,0.816,0.8074,0.8395
37,FreezerRegularTrain,150,2850,301,2,SENSOR,0.9982,0.9993,0.9996,0.9954,0.9975,0.9933
38,FreezerSmallTrain,28,2850,301,2,SENSOR,0.8842,0.967,0.9951,0.987,0.9432,0.9744
39,GunPoint,50,150,150,2,MOTION,1.0,0.9933,1.0,1.0,1.0,1.0
40,GunPointAgeSpan,135,316,150,2,MOTION,0.9937,0.9937,1.0,0.9968,0.9968,1.0
41,GunPointMaleVersusFemale,135,316,150,2,MOTION,1.0,1.0,1.0,1.0,1.0,0.9968
42,GunPointOldVersusYoung,135,316,150,2,MOTION,1.0,1.0,1.0,1.0,0.9905,0.9937
43,Ham,109,105,431,2,SPECTRO,0.7048,0.7143,0.7238,0.7143,0.7048,0.7619
44,HandOutlines,1000,370,2709,2,IMAGE,0.9378,0.9351,0.9541,0.9486,0.9432,0.9595
45,Haptics,155,308,1092,5,MOTION,0.5292,0.539,0.5649,0.5779,0.5227,0.4903
46,Herring,64,64,512,2,IMAGE,0.7031,0.6562,0.7031,0.6875,0.7031,0.6719
47,HouseTwenty,34,101,3000,2,DEVICE,0.958,0.9664,0.9916,0.9664,0.9664,0.9664
48,InlineSkate,100,550,1882,7,MOTION,0.4982,0.4727,0.4709,0.4491,0.4618,0.4436
49,InsectEPGRegularTrain,62,249,601,3,EPG,1.0,1.0,1.0,1.0,1.0,1.0
50,InsectEPGSmallTrain,17,249,601,3,EPG,1.0,0.992,1.0,0.992,0.9759,0.9839
51,ItalyPowerDemand,67,1029,24,2,SENSOR,0.967,0.966,0.9699,0.9378,0.9679,0.9592
52,LargeKitchenAppliances,375,375,720,3,DEVICE,0.856,0.8613,0.888,0.8373,0.9067,0.8373
53,Lightning2,60,61,637,2,SENSOR,0.7541,0.7377,0.6885,0.7869,0.7541,0.7213
54,Lightning7,70,73,319,7,SENSOR,0.863,0.8219,0.8356,0.7808,0.8219,0.8082
55,Mallat,55,2345,1024,8,SIMULATED,0.9446,0.9531,0.9258,0.9412,0.9557,0.9382
56,Meat,60,60,448,3,SPECTRO,0.9,0.95,0.9333,0.9167,0.95,0.9167
57,MedicalImages,381,760,99,10,IMAGE,0.7645,0.7974,0.7987,0.7645,0.7961,0.7803
58,MiddlePhalanxOutlineAgeGroup,400,154,80,3,IMAGE,0.6429,0.6039,0.6299,0.5714,0.6039,0.6104
59,MiddlePhalanxOutlineCorrect,600,291,80,2,IMAGE,0.8385,0.8488,0.8625,0.8247,0.8522,0.8351
60,MiddlePhalanxTW,399,154,80,6,IMAGE,0.5325,0.539,0.539,0.5195,0.5584,0.5519
61,MixedShapesSmallTrain,100,2425,1024,5,IMAGE,0.9616,0.9551,0.9654,0.9658,0.9402,0.9616
62,MoteStrain,20,1252,84,2,SENSOR,0.9329,0.9321,0.9457,0.9401,0.9137,0.9601
63,NonInvasiveFetalECGThorax1,1800,1965,750,42,ECG,0.9435,0.9471,0.9583,0.9211,0.9506,0.9272
64,NonInvasiveFetalECGThorax2,1800,1965,750,42,ECG,0.9547,0.9623,0.9679,0.9379,0.969,0.9547
65,OliveOil,30,30,570,4,SPECTRO,0.9667,0.9333,0.9667,0.8333,0.9333,0.9667
66,OSULeaf,200,242,427,6,IMAGE,0.9917,0.9545,0.9628,0.9835,0.9463,0.9669
67,PhalangesOutlinesCorrect,1800,858,80,2,IMAGE,0.803,0.8345,0.8531,0.8065,0.8333,0.8368
68,Phoneme,214,1896,1024,39,SOUND,0.2584,0.288,0.3528,0.3444,0.2764,0.3486
69,PickupGestureWiimoteZ,50,50,0,10,SENSOR,0.88,0.86,0.82,0.88,0.84,0.78
70,PigAirwayPressure,104,208,2000,52,HEMODYNAMICS,0.5577,0.8654,0.6058,0.8317,0.0865,0.9375
71,PigArtPressure,104,208,2000,52,HEMODYNAMICS,0.9856,0.9808,0.9519,0.9567,0.9567,0.9856
72,PigCVP,104,208,2000,52,HEMODYNAMICS,0.9471,0.9519,0.8798,0.9327,0.9375,0.9663
73,Plane,105,105,144,7,SENSOR,1.0,1.0,1.0,1.0,1.0,1.0
74,PowerCons,180,180,144,2,DEVICE,0.9722,0.9889,0.9833,0.9944,0.9333,0.9278
75,ProximalPhalanxOutlineAgeGroup,400,205,80,3,IMAGE,0.8537,0.8488,0.8537,0.8439,0.8537,0.8585
76,ProximalPhalanxOutlineCorrect,600,291,80,2,IMAGE,0.8969,0.9072,0.9278,0.8969,0.8969,0.8969
77,ProximalPhalanxTW,400,205,80,6,IMAGE,0.8146,0.8195,0.8244,0.8244,0.8244,0.8098
78,RefrigerationDevices,375,375,720,3,DEVICE,0.4773,0.488,0.52,0.5733,0.5333,0.5547
79,Rock,20,50,2844,4,SPECTRO,0.88,0.78,0.86,0.88,0.9,0.9
80,ScreenType,375,375,720,3,DEVICE,0.4773,0.4693,0.552,0.5013,0.4853,0.48
81,SemgHandGenderCh2,300,600,1500,2,SPECTRO,0.8367,0.9017,0.9433,0.9233,0.9083,0.9383
82,SemgHandMovementCh2,450,450,1500,6,SPECTRO,0.4911,0.7022,0.8022,0.6911,0.6667,0.6378
83,SemgHandSubjectCh2,450,450,1500,5,SPECTRO,0.78,0.8622,0.9156,0.8756,0.8867,0.8956
84,ShakeGestureWiimoteZ,50,50,0,10,SENSOR,0.9,0.88,0.94,0.88,0.9,0.88
85,ShapeletSim,20,180,500,2,SIMULATED,0.9889,1.0,1.0,1.0,1.0,1.0
86,ShapesAll,600,600,512,60,IMAGE,0.92,0.92,0.9283,0.9233,0.9067,0.935
87,SmallKitchenAppliances,375,375,720,3,DEVICE,0.7947,0.8187,0.8213,0.84,0.8213,0.7787
88,SmoothSubspace,150,150,15,3,SIMULATED,0.96,0.96,0.9733,0.9867,0.98,0.9733
89,SonyAIBORobotSurface1,20,601,70,2,SENSOR,0.9201,0.8885,0.8869,0.8686,0.9168,0.9384
90,SonyAIBORobotSurface2,27,953,65,2,SENSOR,0.9517,0.9098,0.9391,0.9265,0.915,0.9528
91,StarLightCurves,1000,8236,1024,3,SENSOR,0.979,0.9813,0.9818,0.982,0.9794,0.9832
92,Strawberry,613,370,235,2,SPECTRO,0.9784,0.9811,0.9757,0.9703,0.9811,0.9811
93,SwedishLeaf,500,625,128,15,IMAGE,0.9776,0.9664,0.976,0.9632,0.9664,0.9776
94,Symbols,25,995,398,6,IMAGE,0.9809,0.9819,0.9809,0.9809,0.9739,0.9839
95,SyntheticControl,300,300,60,6,SIMULATED,0.9533,0.98,0.9967,0.9967,1.0,0.9967
96,ToeSegmentation1,40,228,277,2,MOTION,0.9561,0.9605,0.9474,0.9561,0.9649,0.9693
97,ToeSegmentation2,36,130,343,2,MOTION,0.9,0.9154,0.9077,0.9154,0.9231,0.9385
98,Trace,100,100,275,4,SENSOR,1.0,1.0,1.0,1.0,1.0,1.0
99,TwoLeadECG,23,1139,82,2,ECG,0.9991,0.9982,0.9982,0.9991,0.9991,0.9991
100,TwoPatterns,1000,4000,128,4,SIMULATED,0.9742,0.9968,1.0,1.0,1.0,0.9975
101,UMD,36,144,150,3,SIMULATED,0.9861,0.9931,0.9931,1.0,0.9931,0.9861
102,UWaveGestureLibraryAll,896,3582,945,8,MOTION,0.9707,0.9735,0.9807,0.9791,0.9757,0.9592
103,UWaveGestureLibraryX,896,3582,315,8,MOTION,0.8473,0.8459,0.8719,0.854,0.8534,0.8445
104,UWaveGestureLibraryY,896,3582,315,8,MOTION,0.7878,0.7711,0.8049,0.763,0.7744,0.7674
105,UWaveGestureLibraryZ,896,3582,315,8,MOTION,0.7903,0.7954,,0.799,0.7976,0.787
106,Wafer,1000,6164,152,2,SENSOR,1.0,0.9997,0.9994,1.0,0.9985,0.9995
107,Wine,57,54,234,2,SPECTRO,0.9074,0.9074,0.8704,0.9074,0.7778,0.9074
108,WordSynonyms,267,638,270,25,IMAGE,0.7179,0.7539,0.7774,0.7367,0.7539,0.7351
109,Worms,181,77,900,5,MOTION,0.7403,0.7662,0.7532,0.6883,0.7403,0.7143
110,WormsTwoClass,181,77,900,2,MOTION,0.7922,0.7922,0.7922,0.7662,0.8052,0.8052
111,Yoga,300,3000,426,2,IMAGE,0.921,0.9083,0.9187,0.931,0.9163,0.9263
